PC1,PC2,PC3,All Time Rank,High Playlist Probability,Track,Artist
2.3377027987461854,-0.9929180094450158,-0.8367226624096694,1,1,MILLION DOLLAR BABY,Tommy Richman
-0.26456094048387824,0.2677818856385983,1.6072490298244833,2,1,Not Like Us,Kendrick Lamar
1.0347965952483336,-0.7859126576781502,-1.154963334076327,3,1,i like the way you kiss me,Artemas
4.643233430681449,1.3170305056062979,-0.24841159432454735,4,1,Flowers,Miley Cyrus
-0.37805224987336045,0.005081006604425788,0.5981048920706371,5,1,Houdini,Eminem
1.164672823918971,-0.9233651084983832,-1.2706262197642437,6,1,Lovin On Me,Jack Harlow
-0.2149600999801044,0.035192949620065105,-0.4978792248511077,7,1,Beautiful Things,Benson Boone
1.1935992005854867,-0.39196776367105335,0.5738611679719986,8,1,Gata Only,FloyyMenor
-0.3722773618253541,-0.45644697297584125,0.023447996646740122,9,0,Danza Kuduro - Cover,MUSIC LAB JPN
-0.11024056744505552,-0.9593065794600197,-1.13820101629366,10,1,BAND4BAND (feat. Lil Baby),Central Cee
-0.45530786058412,-0.7721919074491919,-0.3423888287160061,11,1,I Had Some Help (feat. Morgan Wallen),Post Malone
-0.3722773618253541,-0.45644697297584125,0.023447996646740122,12,0,The Door,Teddy Swims
-0.3314382314018048,-0.6620916600867491,-0.34042406593791097,13,1,LUNCH,Billie Eilish
-0.4388934320968025,-0.0851324103475753,1.5643806521963246,14,1,Like That,Future
0.8855301555704367,8.582170526648449,-1.7253445850457747,15,0,bathroom floor,Kids With Buns
3.8154445708772435,0.39499113048667756,-0.3241213555838525,16,1,LALA,Myke Towers
-0.39056893391041014,-0.1356456725234336,0.6789360743032421,17,1,Fortnight (feat. Post Malone),Taylor Swift
1.2802497083537534,-1.0022592012139233,-1.3077376170486288,18,1,greedy,Tate McRae
-0.14157900341184104,0.06532547546887713,3.2667883966267897,19,1,BLUE,Billie Eilish
4.339253111233772,0.5295558904585757,-0.6349048192845421,20,1,As It Was,Harry Styles
1.9038864949827508,-0.256621390176222,0.8453662393847103,21,1,Paint The Town Red,Doja Cat
-0.027745880009691005,-0.5857654700513547,-0.4266968210697929,22,1,Espresso,Sabrina Carpenter
-0.3722773618253541,-0.45644697297584125,0.023447996646740122,23,0,Danza Kuduro - Cover,MUSIC LAB JPN
1.1540962467967133,-0.7331686489557819,1.0188112065117074,24,1,TEXAS HOLD 'EM,Beyoncé
2.5624980253293406,-0.7132601332970157,-0.08975474579672507,25,0,Future,official sound studio
12.927883563712529,-2.077632843942072,-0.15350419184501055,26,0,Beat Automotivo Tan Tan Tan Viral,WZ Beat
7.421400452666216,1.3210711971159037,-1.3919663429911444,27,1,STAY (with Justin Bieber),The Kid LAROI
6.187157494126342,22.09888569180717,-7.555416172586275,28,0,Baby Shark,Pinkfong
-0.3470444596987273,0.0027719000629392913,0.6365265757702511,29,1,we can't be friends (wait for your love),Ariana Grande
